Player,Draft pick,Height (No Shoes),Wingspan,Standing reach,Vertical (Max),Weight,Body Fat,Hand (Width),Bench,Agility,Sprint
Blake Griffin,1.0,80.5,83.25,105.0,35.5,248.0,8.2,,22.0,10.95,3.28
John Wall,1.0,74.75,81.25,101.5,39.0,196.0,5.6,9.5,,10.84,3.14
Anthony Davis,1.0,81.25,89.5,108.0,,222.0,7.9,8.5,,,
Victor Oladipo,2.0,75.25,81.25,100.5,42.0,213.0,6.6,9.25,15.0,10.69,3.25
Michael Kidd-Gilchrist,2.0,77.75,84.0,104.5,35.5,233.0,7.0,10.25,6.0,11.77,3.18
Evan Turner,2.0,77.75,80.0,103.5,34.5,214.0,8.6,9.5,9.0,11.06,3.27
Hasheem Thabeet,2.0,85.25,90.25,113.0,,267.0,6.7,,,,
Derrick Williams,2.0,79.25,85.5,108.0,34.5,248.0,10.8,9.75,19.0,11.03,3.23
D'Angelo Russell,2.0,75.25,81.75,102.0,,193.0,8.3,9.75,,,
Jaylen Brown,3.0,77.25,83.75,102.5,,223.0,5.1,9.0,,,
Bradley Beal,3.0,75.25,80.0,100.0,39.0,202.0,6.0,9.0,8.0,10.95,3.28
Otto Porter,3.0,79.5,85.5,105.5,36.0,198.0,6.7,9.25,9.0,11.25,3.4
Derrick Favors,3.0,80.75,88.0,110.0,35.5,245.0,6.5,9.25,14.0,11.74,3.25
James Harden,3.0,76.0,82.75,103.5,37.0,222.0,10.1,,17.0,11.1,3.13
Enes Kanter,3.0,81.75,85.5,109.5,32.5,259.0,5.9,10.75,14.0,11.3,3.26
Wesley Johnson,4.0,78.25,85.0,106.0,37.0,206.0,4.6,9.5,16.0,11.43,3.14
Tyreke Evans,4.0,76.0,83.25,104.0,34.0,221.0,7.1,,7.0,11.81,3.17
Aaron Gordon,4.0,79.5,83.75,105.0,39.0,220.0,5.1,10.5,,10.81,3.27
Tristan Thompson,4.0,79.5,85.25,108.5,35.0,227.0,6.2,9.25,9.0,10.92,3.26
Cody Zeller,4.0,82.75,82.75,106.0,37.5,230.0,4.8,10.5,17.0,10.82,3.15
Dion Waiters,4.0,74.5,79.25,98.0,,221.0,8.5,9.5,,,
Kris Dunn,5.0,75.0,81.5,100.0,,,,,,,
DeMarcus Cousins,5.0,81.5,89.75,113.0,27.5,292.0,16.4,10.0,,11.4,3.55
Dante Exum,5.0,76.5,81.5,103.0,34.5,196.0,6.4,9.5,,10.75,3.19
Thomas Robinson,5.0,79.75,87.25,106.0,35.5,244.0,5.0,10.5,15.0,11.96,3.17
De'Aaron Fox,5.0,74.0,78.5,100.0,,170.0,4.5,8.5,,,
Marcus Smart,6.0,74.0,81.25,99.0,36.0,227.0,10.6,8.75,,10.82,3.26
Jonny Flynn,6.0,71.25,76.0,95.5,40.0,196.0,6.3,,10.0,10.86,3.23
Willie Cauley-Stein,6.0,83.25,87.0,111.0,,242.0,6.3,9.0,,,
Ekpe Udoh,6.0,80.75,88.5,106.5,33.5,237.0,8.0,8.75,10.0,11.15,3.29
Buddy Hield,6.0,75.75,81.25,101.0,,212.0,6.1,9.0,,,
Nerlens Noel,6.0,82.0,87.75,110.0,,206.0,4.2,10.0,,,
Damian Lillard,6.0,73.75,79.75,95.5,39.5,189.0,5.9,9.75,13.0,11.15,3.34
Greg Monroe,7.0,81.75,86.25,108.5,29.0,247.0,11.2,9.5,15.0,12.1,3.35
Julius Randle,7.0,79.75,84.0,105.5,35.5,250.0,9.4,8.25,,11.45,3.27
Ben McLemore,7.0,75.5,79.75,100.5,42.0,189.0,5.0,9.5,6.0,11.87,3.27
Harrison Barnes,7.0,79.0,83.25,101.5,39.5,228.0,9.6,8.5,15.0,10.93,3.16
Stephen Curry,7.0,74.0,75.5,97.0,35.5,181.0,5.7,,10.0,11.07,3.28
Kentavious Caldwell-Pope,8.0,76.5,80.0,100.5,34.5,204.0,6.5,9.0,7.0,10.6,3.12
Stanley Johnson,8.0,77.0,83.5,102.0,,242.0,7.5,9.0,,,
Nik Stauskas,8.0,77.25,79.75,102.0,35.5,207.0,12.1,8.5,,10.79,3.27
Jordan Hill,8.0,81.25,85.5,108.0,35.0,232.0,6.0,,11.0,12.23,3.3
Al-Farouq Aminu,8.0,79.25,87.25,108.5,33.5,216.0,8.2,9.5,13.0,11.29,3.3
Terrence Ross,8.0,78.0,79.25,100.5,37.5,197.0,3.2,10.25,2.0,11.78,3.28
Brandon Knight,8.0,73.5,78.75,98.5,37.5,177.0,4.2,9.5,10.0,10.74,3.07
Marquese Chriss,8.0,80.75,84.25,105.0,38.5,233.0,8.5,9.0,,11.93,3.26
Kemba Walker,9.0,71.5,75.5,91.5,39.5,184.0,5.9,9.0,7.0,10.87,3.16
Trey Burke,9.0,71.75,77.5,97.5,36.5,187.0,6.9,8.75,3.0,11.2,3.16
Noah Vonleh,9.0,80.0,88.25,108.0,37.0,247.0,7.3,11.75,,11.45,3.28
Gordon Hayward,9.0,78.75,79.75,103.0,34.5,211.0,6.9,9.25,10.0,11.73,3.22
Frank Kaminsky,9.0,83.75,83.0,109.5,,231.0,9.4,9.5,,,
Demar DeRozan,9.0,77.5,81.0,102.5,38.5,211.0,4.9,,5.0,11.88,3.31
Andre Drummond,9.0,81.75,90.25,109.5,33.5,279.0,7.5,9.5,10.0,10.83,3.39
Jakob Poeltl,9.0,84.25,86.75,111.5,,239.0,5.8,10.25,,,
Elfrid Payton,10.0,74.5,80.0,98.5,35.5,185.0,5.7,9.0,,11.06,3.23
Jimmer Fredette,10.0,72.75,76.5,96.5,33.0,196.0,7.7,8.5,14.0,10.42,3.21
Zach Collins,10.0,82.25,85.0,111.0,,232.0,8.9,9.25,,,
Paul George,10.0,79.75,83.25,107.0,,214.0,5.0,9.0,4.0,,
C.J. McCollum,10.0,74.25,78.25,96.5,38.5,197.0,8.6,9.5,13.0,11.02,3.32
Austin Rivers,10.0,75.5,79.25,96.5,37.5,203.0,6.2,10.0,1.0,11.54,3.32
Justise Winslow,10.0,76.5,82.25,104.5,,222.0,5.3,9.25,,,
Thon Maker,10.0,83.75,87.0,110.5,36.5,216.0,6.1,9.5,,11.15,3.33
Klay Thompson,11.0,77.75,81.0,103.5,31.5,206.0,8.0,9.25,5.0,10.99,3.24
Myles Turner,11.0,81.75,88.0,112.0,,239.0,9.3,9.25,,,
Meyers Leonard,11.0,83.75,87.0,108.0,32.5,250.0,5.7,11.0,19.0,11.34,3.41
Terrence Williams,11.0,77.0,81.0,103.5,37.0,213.0,5.1,,9.0,11.15,3.18
Doug McDermott,11.0,78.25,81.25,103.0,36.5,218.0,7.1,9.75,,11.1,3.29
Michael Carter-Williams,11.0,76.75,79.25,101.0,41.0,184.0,4.4,8.5,8.0,10.68,3.22
Cole Aldrich,11.0,81.0,88.75,111.5,28.0,236.0,8.5,9.25,10.0,11.48,3.35
Alec Burks,12.0,77.0,82.0,103.5,36.0,193.0,5.1,8.25,5.0,10.96,3.17
Gerald Henderson,12.0,76.0,82.25,102.5,35.0,215.0,4.4,,8.0,11.17,3.14
Luke Kennard,12.0,76.5,77.25,98.5,,196.0,6.6,8.75,,,
Xavier Henry,12.0,77.25,83.25,105.0,36.5,210.0,4.7,10.0,8.0,11.1,3.18
Jeremy Lamb,12.0,76.0,83.0,102.0,38.0,179.0,4.5,9.25,5.0,10.98,3.25
Taurean Prince,12.0,78.5,83.5,102.0,36.0,220.0,6.5,8.5,,10.96,3.24
Trey Lyles,12.0,81.0,85.5,108.0,,241.0,12.1,10.25,,,
Steven Adams,12.0,82.75,88.5,109.5,33.0,255.0,6.7,11.0,16.0,11.85,3.4
Kendall Marshall,13.0,75.25,77.5,96.0,37.0,198.0,7.8,9.0,,12.03,3.23
Devin Booker,13.0,76.5,80.25,102.5,34.5,206.0,8.3,9.0,8.0,10.22,3.28
Markieff Morris,13.0,79.75,82.75,106.5,31.5,241.0,10.2,8.25,11.0,,3.4
Zach LaVine,13.0,76.5,80.25,100.0,41.5,181.0,4.7,8.75,,10.42,3.19
Ed Davis,13.0,81.0,84.0,108.0,36.0,227.0,10.0,10.0,,11.7,3.21
Donovan Mitchell,13.0,73.25,82.0,97.0,40.5,211.0,5.9,9.5,,11.53,3.01
Kelly Olynyk,13.0,82.75,81.75,108.0,29.5,234.0,6.7,10.0,5.0,11.42,3.59
Tyler Hansbrough,13.0,80.25,83.5,106.0,34.0,234.0,8.5,,18.0,11.12,3.27
T.J. Warren,14.0,79.0,82.25,104.0,35.5,220.0,8.0,9.0,,11.1,3.26
Shabazz Muhammad,14.0,76.75,83.0,104.5,37.0,222.0,9.0,10.0,10.0,10.99,3.32
Bam Adebayo,14.0,80.75,86.75,108.0,38.5,243.0,5.2,8.75,,11.94,3.24
Cameron Payne,14.0,72.75,79.25,97.5,35.5,183.0,6.3,8.25,,10.89,3.28
Denzel Valentine,14.0,76.0,82.75,102.0,32.0,210.0,9.2,9.75,,10.51,3.46
Marcus Morris,14.0,79.0,82.0,105.5,33.0,230.0,8.0,8.5,11.0,,3.15
